,Stroke Occurrence
Stroke Occurrence,1.0
Alcohol Consumption,0.004706809094454689
ID,0.003276915684601992
Physical Activity,0.0028189928424807256
Sleep Hours,0.0015154372575724106
Chronic Stress,0.0014809306891301682
Heart Disease,0.0014639565187691088
Work Type,0.0012594850466857948
Age,0.0006620104008718055
Stroke Risk Score,0.0003457226687315795
Average Glucose Level,0.00021355951291760516
Gender,0.00011144956682998045
Family History of Stroke,-0.0005135589444620608
Education Level,-0.0005304449311342299
BMI,-0.0012287424388973958
Ever Married,-0.0012412979247153103
Dietary Habits,-0.002027299003524154
Hypertension,-0.0024309688362400836
Region,-0.002480175245714748
Residence Type,-0.002792491597200795
Smoking Status,-0.003668744865734423
Income Level,-0.006543435912511261
